Nombre Original,Referencia Detectada,Codigo SAP,Nuevo Nombre,Estado
"EMG25F80209.png","EMG25F80209","5031401","5031401-1.png","Coincidencia Exitosa"
"EMG25F80210.png","EMG25F80210","5031402","5031402-1.png","Coincidencia Exitosa"
"EMG25F80213.png","EMG25F80213","5031405","5031405-1.png","Coincidencia Exitosa"
"EMG25F80214.png","EMG25F80214","5031406","5031406-1.png","Coincidencia Exitosa"
"EMG25F80217.png","EMG25F80217","5031409","5031409-1.png","Coincidencia Exitosa"
"EMG25F80221.png","EMG25F80221","5031413","5031413-1.png","Coincidencia Exitosa"
"EMG25F80224.png","EMG25F80224","5031416","5031416-1.png","Coincidencia Exitosa"
"EMG25F80225.png","EMG25F80225","5031417","5031417-1.png","Coincidencia Exitosa"
"EMG25F80226.png","EMG25F80226","5031418","5031418-1.png","Coincidencia Exitosa"
"EMG25F80230.png","EMG25F80230","5031422","5031422-1.png","Coincidencia Exitosa"
"EMG25F80231.png","EMG25F80231","5031423","5031423-1.png","Coincidencia Exitosa"
"EMG25F80232.png","EMG25F80232","5031424","5031424-1.png","Coincidencia Exitosa"
"EMG25F80235.png","EMG25F80235","5031427","5031427-1.png","Coincidencia Exitosa"
"EMG25F80236.png","EMG25F80236","5031428","5031428-1.png","Coincidencia Exitosa"
"EMG25F80237.png","EMG25F80237","5031429","5031429-1.png","Coincidencia Exitosa"
"EMG25F80239.png","EMG25F80239","5031430","5031430-1.png","Coincidencia Exitosa"
"EMG25F80240.png","EMG25F80240","5031431","5031431-1.png","Coincidencia Exitosa"
"EMG25F80248.png","EMG25F80248","5031438","5031438-1.png","Coincidencia Exitosa"
"EMG25F80249.png","EMG25F80249","5031439","5031439-1.png","Coincidencia Exitosa"
"EMG25F80192.png","EMG25F80192","5031384","5031384-1.png","Coincidencia Exitosa"
"EMG25F80193.png","EMG25F80193","5031385","5031385-1.png","Coincidencia Exitosa"
"EMG25F80196.png","EMG25F80196","5031388","5031388-1.png","Coincidencia Exitosa"
"EMG25F80197.png","EMG25F80197","5031389","5031389-1.png","Coincidencia Exitosa"
"EMG25F80202.png","EMG25F80202","5031394","5031394-1.png","Coincidencia Exitosa"
"EMG25F80203.png","EMG25F80203","5031395","5031395-1.png","Coincidencia Exitosa"
"EMG25F80207.png","EMG25F80207","5031399","5031399-1.png","Coincidencia Exitosa"
